subj,condition,possibility_result,generatedPossibility,dv,politics,religion,gender,age,race,race_TEXT,income
R_2pSsO8VUQ9w0M8P,1,0,I don't think Martin would have fared much better because he lacked the focus and drive to succeed in the class no matter how easy the material was.  i don't believe Martin would have sought extra help.,1,2,1,1,34,1,,5
R_eb8EcGpHVrGTrLH,1,0,"I don't think Martin would have utilized these extra resources to learn the material better. If he wasn't studying after class, he's not going to go to additional office hours and if he's already distracted in class, he's definitely not going to try to understand a lecture just because it's easier.",1,5,1,2,31,1,,3
R_1gbh4egD4sD37s2,1,0,"I don't think Professor Smith is at fault here. However, I believe that had he made the lectures a little easier and held additional office hours, the student would have still failed because he never took advantage of the help already offered and didn't pay attention in class.",2,3,1,2,21,1,,3
R_1HXldw4YPhQfIxH,1,0,"I doubt that student would have passed even with these accomodatons.  Obviously if he didn't have time to study (or was too tired) then he wouldn't have time (or would be too tired) to spend additional time at lectures or office hours.  If others are passing fine, and have for 10 years, as well as very few other complaints about the teacher, it's possible this student simply bit off more than he could chew. Not everyone is meant for a chemistry class...",1,4,2,2,48,1,,6
R_1IFTpTc7t6NJJp6,1,1,"I feel that if the Professor did those things, the player would have a much better chance at success.  Students learn in different ways and as a good teacher, they should prepare to be able to teach in such manner.",4,2,5,2,48,3,,5
R_1gG6rArssm7PJ2V,1,0,"I honestly don't think it would have made much of a difference in this case if Professor Smith had made things easier or had additional office hours. Martin was tired much of the time, busy with his sports/practices/etc and didn't make an effort to do well enough to pass in this class.",1,6,6,2,40,1,,4
R_5o72PNG5xnvoU1j,1,1,I think he would maybe have taken the additional office hours in order to bring his grades up. That would have helped a great deal for his students. Proffesser smith should take the time to make sure all his students are not falling behind and if he has took that extra effort things would have been different.,3,3,6,2,52,1,,1
R_OdRQ0gycS5YQyfn,1,1,I think it would help and be beneficial for the students if Professor Smith took some additional time out and helped the struggling students that need tutoring and help.,2,5,5,1,35,5,White/Asian,1
R_6FIMQwAR8oYozhH,1,0,"I think making the class easier for one football player puts an undue burden on the professor. Certainly college is about education and not keeping a football player on the field. Plus, it may dumb the class down. The player should have worked to get the grade up himself since the teacher was using the same material for ten years, apparantly without issue.",2,2,1,1,49,1,,2
R_2rhVpwoPyCXj0C5,1,0,"I think Martin still would have failed. It was stated in the story that he didn't have the energy and time to study outside of class. There's only so much a professor can do! Ultimately, the blame goes to Martin.",1,2,1,1,23,4,,1
R_1BVIwYVEnBRgvIG,1,1,"I think some students would have greatly benefited from the extra help, and may have gotten higher grades.",3,2,1,1,26,1,,2
R_x4mpmEz8dPrHdAt,1,1,"I think students would feel more comfortable with him, They would feel more connected and will do better in the course. ",3,5,4,2,30,1,,4
R_0puRzUmRpPOtupz,1,0,"I think that even if Professor Smith provided these things, the student wouldn't have succeeded. It was said that he didn't have enough time to study alone so he clearly didn't put enough effort in.",2,2,1,2,32,1,,4
R_viXpsEFiunu1O49,1,0,I think the same thing would happen. I'm sure that other students didn't fail the class however Martin was too worried about athletics and ended up failing. ,2,4,1,1,28,1,,2
R_2bHGRuWe96njFex,1,0,"I think the same thing would have happened, in terms of Martin's grade. Martin's problems included being tired in class, not focusing, and not spending time on the work outside of class. Different lectures and more office hours would not help Martin if he wasn't interested in utilizing those opportunities.",2,1,2,2,30,1,,1
R_dj2brEKP7AzwfS1,1,1,I think their would of been a chance for him to have reviewed more and been able to keep up easier.,2,4,2,1,32,1,,1
R_2zedu9SbA3D8va6,1,1,I think there is a good chance that all students including Martin would have scored higher on the midterm/final exam. I don't think martins participation score would have increased. I feel he might not even have/been able to take advantage of the additional office hours Professor Smith would have offered.,4,2,1,1,30,1,,2
R_xrTv1rKnPB8L42d,1,1,"If he did this, Marting may have been able to get help and would have been able to pass the class.",1,4,5,1,32,1,,4
R_3Rr6OrC3wqELcJq,1,1,if he had held additional office hours for students than maybe it would help some students who need the extra help. I think the lessons should stay at the same level they are. If the students aren't committed to the work than they aren't going to pass.,1,3,2,2,32,3,,2
R_3gLrNDOWqotHjCO,1,0,"If he was usually too tired or busy to study to begin with extra office hours wouldn't have helped him any.  Also, presumably, not all the students failed, so dumbing down lectures is not a good policy.  It is a college class, and it is up to the students to apply themselves as needed.",1,2,3,2,48,1,,2
R_3GE8xmWK7Ha67Cm,1,1,"If Martin had gone to the professor's office hours, he would have been able to ask about parts of the material that were giving him trouble. His grades probably would have been better. ",2,2,2,1,26,1,,2
R_27xHfS1QKNw6T0q,1,0,If Professor Smith did this then it would have been likely that Martin would not have gone to get help and still would have failed.,1,3,2,1,18,1,,5
R_295Pfg2s4latgdr,1,1,"If Professor Smith had decided to spend additional time making his lectures easier to understand and held additional office hours for students who weren't understanding the material, it probably would of made somewhat of a difference and Martin would of likely scored higher but it was Martin's responsibility to pass the class and do whatever necessary, such as hire a tutor, to do satisfactory in the class.",2,4,4,2,29,1,,4
R_2ta6TNXOhaEbM1F,1,0,"If Professor Smith had decided to spend more time making his lectures more understandable and held additional office hours, maybe Martin would have been more encouraged to get better scores. At the same time, Martin would need the energy and motivation to want to learn so it might have been futile.",1,3,1,1,25,3,,1
R_31RdeCGGg96E5l4,1,1,"If Professor Smith had done that, I don't think much would have changed since it seems like the problem was the student being too exhausted and not having enough time, so while the easier lectures may help, it's doubtful the office hours would help.",3,2,1,1,20,1,,1
R_XLHRl1TzaDye6Xf,1,1,"If professor Smith had done that, the football player MAY have had a better chance to pass the class. Then again, the football player didn't seem too motivated to make it anyway. Other students may have benefited, but not so sure about the jock.",3,4,1,1,53,1,,2
R_32P0a8EWmqsehcf,1,1,"If Professor Smith had gone out of his way to help students who were having trouble understanding the material, some of the students would probably have understood the material better and done better on the exam. It's not clear whether any individual student would have done better because each student has a different level of motivation and competence. It's possible that the student athletes in the class would have been able to pass the class and maintained their eligibility to play sports, but it's also possible that they would have failed no matter what the professor did.",4,3,5,2,42,1,,2
R_zVed0OC6E7CFnMd,1,1,"If Professor Smith had improved his lectures, there is a chance that those would who were struggling with the material would be able to understand the subject better.  However, I still wonder how improved office hours would have affected those on the football team.  Would practice times conflict with the office hours?  Additionally, one of the reasons that Martin struggled in the class was that he was tired.  Bending the academic structure to fit the football needs doesn't exactly solve the problem - he will still be physically and mentally exhausted.  Why not consider the athletic department lessing their schedules to help students with academics?",1,2,1,2,23,3,,5
R_ZCvSOt1HOj9ALyV,1,1,"If Professor Smith was alive and engaged with his or her classes instead of phoning stale lectures in, it is possible that the students would be more interested, excited, and curious about the topic of chemistry. If Professor Smith thought about how to make the topic relatable to the widest number of people in an effort to help them understand through metaphors, visual aids, storytelling, historical anecdotes, and demystification, it is likely the students would have a firmer grasp on the underlying principles of chemistry. If the professor offered expanded office hours, any students encountering trouble with course material would have more opportunities for personal help and attention. None of these factors can be said to help Martin the football player however, since no information was presented on his academic engagement in other classes.",1,6,5,1,48,1,,4
R_UABt2UJc41YHrzj,1,1,"If Professor Smith would have made his lectures easier and held office hours, then Martin would have possibly passed and been eligible to play next season.",2,3,5,2,30,2,,2
R_1252RD4dJ8J1J2Y,1,1,If the professor had of made changes to assist his students he would of most likely passed.,6,6,6,2,40,1,,1
R_3NFgl4BCCqWzYF4,1,1,If the teacher spent more time making his lectures easier it may give him more time to understand the info. I think the professor already did alot by having a review before each test. ,2,5,6,2,27,5,native american,5
R_57tfRY2atkc3Tgt,1,1,"If those things had happened, it is possible that Martin grades would have been good enough to pass the class. I'm not sure if the additional office hours would have helped as Martin is always busy after class.",1,5,5,1,54,1,,3
R_1qgKVj6mOHXI1e3,1,0,I'm not sure what would have happened differently. I feel like Martin didn't put in enough effort.,1,3,1,2,30,1,,3
R_UJSwMYXddP9uZ9v,1,0,"In terms of Martin, not too much because he was too tired and didn't have time to study anyway.",3,1,1,1,34,1,,2
R_2c0oOm7RJlLulW9,1,1,"it could have helped martin pass, but i doubt martin cared that much or he would have tried harder than a 65 in participation",3,1,1,2,34,1,,5
R_stnrU2PhBlBUK3v,1,1,"It is possible that if the professor spent time working on his lectures andupdating them that the students would have an easier time passing the course. It is also possible that longer office hours would have helped those students who wanted extra help, however it is hard to say if Martin would have benefitted from these.",4,4,3,2,33,1,,3
R_211BHa6oJtxiEfv,1,1,It is possible that Martin would have done well in the class. ,7,1,6,2,24,5,Native American,2
R_A5TXEvZI0oy32pz,1,0,It is still up to the student to apply themselves more,2,3,2,1,38,1,,6
R_1qaHIoXHs68RINx,1,1,It might have been easier to pass,1,4,4,2,47,1,,2
R_1NkVUqcBmNugpb9,1,0,"It might have helped Martin a little more, but as the story said, Martin was tired, not focused and he didn't study. i think if Martin had studied, things would have turned out differently. Even if Professor Smith spent more time teaching the class, if Martin didn't study, i don't think he would have passed anyway. ",1,4,6,2,24,1,,2
R_3nvnLymBrfmsleq,1,1,"It might have helped scores, but, ultimately it is up to the student to not be somewhat tired and distracted.",1,5,4,2,50,1,,2
R_3KDcA9c2D3Nhg2T,1,0,It might have helped some of the students but Martin probably wouldn't have taken advantage of it.,3,3,1,2,48,1,,1
R_b9geVIXUmbUi7xH,1,0,It probably would not have made a difference because he still would have been tired in class and would not have had the time to meet after school to learn more.,1,2,1,1,30,1, ,5
R_1oEXKc57nfLzwHc,1,1,"It would have been beneficial for students who did not understand the material if Professor Smith had spent additional time going over the coursework. However, since this particular student did not put in the effort to learn the material, I don't think he deserves special treatment simply because he is an athlete. ",1,3,1,1,27,1,,2
R_24oS2UfGTxloET4,1,1,it would not be fair to the other students who studied very hard and made learning a priority. Smith shouldn't cater to someone who put athletics ahead of academics. Additional office hours is great and he will get the class to understand more. it's a mixed-bag,2,3,2,2,29,1,,2
R_2q1RhrVpf857BZF,1,0,It would not have made a difference for Martin because he did not pay attention in the first place.,1,4,5,1,22,1,,1
R_3NyT9tseTz6cG2K,1,0,It would not matter- Martin still would have been tired during class and would not have bothered to come to the professor's office because he would be too tired or too busy.,1,5,5,2,34,1,,3
R_3jTpk9iPCj2aBOe,1,0,It's on the student to spend the additional time studying.,1,3,1,1,43,1,,4
R_2RQHrOVYZq07L0u,1,1,martin may have been able to pass the class ,3,3,1,2,33,1,,4
R_1ISFnE2mpiQ6J9j,1,1,Martin may have done better in the class. Martin may have passed the class. He would be able to play footbal and the athletics department would not be mad at him. ,1,5,1,1,51,1,,2
R_1IckCVZ6czZBdYy,1,1,Martin may have had a better chance of passing.  But it is also possible that that wouldnt help.,3,3,3,2,34,1,,1
R_01AzX4ggSoaKJ7H,1,1,"Martin might have made better grades if the professor had made himself more available or the lectures easier to understand,  however, we don't have enough information to determine that Martin would have utilized those options. It says he was often tired, and that could result in a lack of focus and attention regardless of simplified lecturing. ",1,3,5,2,37,1,,2
R_ekBBTFQQl0aX40F,1,1,"Martin most likely would have passed.  The educational system, as it is currently, does not take into account night-time students. /  / Not everyone is able to operate at the hours they want you to operate at.",5,1,1,1,27,1,,1
R_2rAu5SJJ7URmsry,1,1,Martin probably would have had a better shot at learning the material as he could maybe get some review when he was less tired. ,5,1,1,1,31,1,,3
R_3JsmUGFhxOu4z5b,1,1,martin probably would have passed the class with little effort / ,5,1,1,1,20,1,,4
R_1GlZanuykcWuKe9,1,0,"Martin probably wouldn't have taken advantage of that anyway, because he was tired and distracted anyway.",2,1,1,2,36,1,,3
R_xsdL2ASJHfDICC5,1,1,Martin quite possibly may have been able to pass the chemistry class.,2,3,3,1,32,2,,3
R_32JboXcT98Vd7In,1,1,"Martin the athlete might have had more flexible time to wrap his head around the material causing him to score better on the tests, not fail, and not disappoint the athletic department.",6,2,1,1,25,1,,1
R_A0uHrtoccfdwbtv,1,1,"Martin would have performed better, passed the class, and been academically eligible to play football.",4,2,1,2,35,1,,5
R_3I02B5eV23jn6uS,1,1,More students could have passed and learned more.,3,1,1,1,28,1,,2
R_31RGNIC91Ew5fvP,1,1,More students would have passed. It is possible that he would have been able to play on the team if he had this additional help.,5,2,1,2,28,1,,1
R_Z3O4jcePxsPOCnT,1,0,Most likely the same thing would have happened.  Martin didn't fail because of lack of effort on the professor's part.  He failed because of lack of effort on his part.,1,2,4,2,33,1,,4
R_1q3D9wT4n6g1y8p,1,1,"Most professors do hold office hours or at least provide some means for extra tutoring for students who are having trouble with the class, so not having any additional resources is unreasonable. Doing so might have made it easier for Marlon to pass the class. ",1,5,6,2,53,1,,4
R_3NWWGmKVh6xfGSZ,1,0,Most students still would have earned about the same grade as this did in the current format. But there would be less of an excuse to do poorly in the class since the lectures would be easier to understand and the professor would have open office hours for students to come to for extra help.,3,3,4,1,22,1,,2
R_1oiCIhCB7g9sd5D,1,0,Not a lot would have changed because the student was already stretched thin enough from trying to balance school and athletics.  He was busy and tired all the time already.,3,3,4,1,29,1,,2
R_1GQEnqpImAkzVDI,1,1,Paul and other students would be able to pass the exam and the class ,2,3,5,2,32,5,black and white ,2
R_3rOG7xg8FmVrwUE,1,1,"Perhaps making the lectures easier to understand may have helped. Additional office hours may not have helped, because the student had other commitments after hours, so may not have been able to take advantage of them.",2,1,1,1,51,1,,3
R_1jPuFGEV8zFDYt2,1,1,"Perhaps Martin would have had an easier time in class, passed it and been eligible to play sports.",1,1,2,1,46,1,,2
R_2f6Tjyus1yKXGYn,1,1,Perhaps Martin would have taken advantage of extra help and passed the class therefore enabling him to play sports.,3,4,4,2,39,1,,5
R_3emKDnrEC5rHdCi,1,0,Professor Smith probably didn't have time to do that. Plus I highly doubt this football player would have went to the additional hours because he would be at practice.,1,3,1,1,26,1,,2
R_3dKgPXIeG6fT0kk,1,0,"Seeing a the student was often tired, didnt always pay attentions, and didnt have time to study after classes i do not believe his grades would have changed at all. However, more office hours and easier lectures are generally better for the majority of students.",2,1,1,1,23,1,,2
R_2AXXCedb5ghyDYo,1,0,"Someone who wasn't already motivated to pay attention in class, or to develop strong study habits at home, likely wouldn't be motivated enough to attend office hours. Making lectures easier to understand seems very unlikely to make the difference between barely scraping a 50, and getting a high grade.",3,3,5,2,24,1,,2
R_12tK8g5gXOuTcK9,1,1,Student might have passed if Professor Smith provided extra time however it's is up to the individual to know how important studying for midterms are. ,1,3,1,1,33,2,,2
R_0P16P9X6QwvS4gB,1,0,"Students need to have their own intrinsic motivation to learn in class so I wonder to what extent the professor would have had on the learner. But if the learner was engaged in the materials that the professor recreated he could have potentially improved his grade and or reached a higher participation score. But, I think students should be able to reach out to the professor via email for case to case circumstances for those who can't meet for office hours.",2,3,1,1,28,5,Native Hawaiian,2
R_1mWsUdOKISFMbUO,1,1,Students would have a higher chance to pass,4,3,3,2,34,1,,3
R_3Eg9OBes4xte7wP,1,1,"That probably would of helped these students get higher scores, but overall I don't think they still would of passed. if the other students were like martin, its not a fact of the teacher helping and making the lectures and class more easier. its all on the students to make the effort!",3,2,2,1,34,1,,2
R_2Yb0TCEp5RZNyFm,1,0,The football player would have probably still failed the class.  His failure seemed to be more of his fault,2,4,1,1,20,1,,3
R_2v1ehaPdaNGZo84,1,1,The football star and others would not have failed the class if it was easier to understand and more fun.,5,3,1,2,35,1,,1
R_39qWPDvQ0yOWNuF,1,0,"The outcome would have still been the same as the student was not dedicated to passing the class, had no real desire to learn the material and was essentially there to fulfill a requirement. ",3,1,1,2,31,1,,2
R_1gdUDAL4FehLdVk,1,1,The Professor would have noticed the low grades of his student and offered help in learning the material. He could have attempted to prevent the football player from failing his class.,5,2,3,2,39,1,,3
R_2zVdUcK9MNZhrJb,1,1,"The student may have been able to pass the class if Prof. Smith had made it a little easier to understand. Then again, many students have taken Prof. Smith's class without this additional work on Prof. Smith's end and passed.",2,3,1,2,22,1,,2
R_2WGVD4uOZtxzwtF,1,1,The student might have been able to find the time to get the help. Resulting in a possibility that he would have passed the class. I think it would have brought the grades up for everyone in the class. ,3,3,3,1,25,1,,2
R_3E9ZYaK12ZjB22F,1,1,"The students would be more interested. They might not snooze through class. It could be more possible to pass the class,",4,4,5,2,34,1,,2
R_1rPqLvncyQlqKhi,1,1,the students would learn a little extra ,5,1,1,1,38,1,,2
R_XtfHb4ZXZyiwGwV,1,1,Then he  Martin will pass. The Professor Smith should post  practice exams for students to get  better at  the exams.,3,2,1,1,21,4,,1
R_3qkRld8BfWsWCaW,1,1,"Then the student could have passed his class if he went to those office hours. If the lectures were easier then maybe the student could have understand the materials better, and passed the class.",3,3,1,1,18,1,,4
R_3irHkyeGBWTlPt8,1,1,Then the student would have passed the class and he would have been eligible to play the next year.,2,4,4,1,27,1,,5
R_41NOirCyTEnzBzL,1,0,"There would be very little to no change if Professor Smith spent additional time making his lectures easier to understand or add additional office hours.The student found it hard to concentrate because of his busy schedule, making the lectures easier would not help the student concentrate and stay focused on the work presented. Just as holding additional office hours wouldn't work because the student didn't have time to study on his on schedule let alone addition more to it.",1,3,5,1,36,1,,2
R_2zhzx72wnILJFSy,1,1,"Things would have certainly gone differently.  Students overall would have performed better and likely understood the material more, resulting in a better takeaway from the class in general for the students.",3,3,3,1,25,1,,5
R_2BfA6SI9wkJUS0R,1,1,"This may have helped the football player, but since he was distracted it probably wouldn't have helped.",2,6,5,1,25,1,,5
R_2YikTBNC6h0FvQz,1,0,we would have watered down the curriculum ( easier to understand means less content ) and people that actually needed the content for their future jobs would have been hurt just so that the university could make more money from football tickets.,1,2,1,1,55,1,,3
R_V3TpX9voMNCNm0N,0,1,"Martin would have been eligible to play, but would not have earned the right to play.",1,4,4,1,28,1,,4
R_2uUQX1sNDX1Co5i,0,1,"Professor Smith would be catering to the athletic department's demands, by allowing Martin to continue playing on the team. This would be unfair, and would send a message to Martin that sports are more important than his education",1,4,5,1,24,1,,2
R_1FbJW8eljol3bqt,0,0,"That would have been completely unethical. If Martin needed a better grade, he should have put in the work necessary to accomplish that goal.",2,4,1,2,32,1,,3
R_33lrc7KqXRV4MnX,0,1,Martin could have continued with the team but would have learned a bad lesson.  The professor has no morals either.,1,4,1,2,54,1,,1
R_3e8JlbyJBzwQn8X,0,1,"Professor Smith might be put under evaluation from an education board for falsifying results. College athletics, however, are a huge source of income for many schools, and place priority of it over their education program, so he might have been rewarded by the school.",1,1,1,1,20,1,,7
R_2xLagNMJVk49P3t,0,1,"I'm sure that that happens all the time with athletics, especially if he is a high profile athlete. I feel like it's definitely not moral at all but I'm sure schools don't care about it.",1,3,1,1,21,1,,1
R_2S82PJPjSObDnkS,0,1,Martin would have passed the class. ,1,3,5,2,53,1,,1
R_2rUwBZc6LTV5TNj,0,1,Martin would have been able to continue to play.,1,1,1,2,47,4,,3
R_1CBmrXTDhvQGYpK,0,0,"It would have been the wrong thing to do , obviously, Martin would learn yet another time that being an athlete meant not having consequences for your actions.",1,4,5,1,54,1,,2
R_3m1qCziM6mCrWwB,0,1,"Martin would have lost out on the education, would have learned that it is ok to alter the rules even if it was wrong, Martin would have been able to play football.",1,4,5,2,64,1,,1
R_22LFC2C4xFNdrDc,0,1,"If Professor Smith altered Martin's grades, he would have passed the chemistry class and would have been able to continue playing sports.",1,2,1,2,31,1,,2
R_3dY3Ih7aqoivyeT,0,1,Martin would be able to get enough credit and would be able to play games.,1,3,5,1,45,4,,2
R_3pfi5eq5PsnJRVn,0,0,I think the teacher would be morally wrong to do this. Even if he had no moral objection it would probably at least against the by-laws of the university. If caught he would probably be fired and the school athletics and academics would all come under scrutiny. This also would be a failure to the student as he would have learned nothing because there we no consequences for his failure to take charge of himself!,1,6,5,1,53,1,,3
R_5aHymTJiTBvMn1n,0,1,It would have an unethical decision on the professors part to alter his final grade.  But Martin would be able to participate in the team.  I do not condone this to happen.  ,1,2,1,1,35,1,,1
R_2ZPGYgk2Mla7br3,0,1," / If Professor Smith would have given a better rating, Martin could develop sports activities, but it would be a dishonest act /  / ",2,3,1,1,57,3,,2
R_2E5cinUmHZ2bx24,0,1,He would have passed the class with atleast a c.,1,6,6,2,31,3,,2
R_39r1uTj7UgbkGkN,0,1,"He would have been able to continue being on the team, but would have benefited from dishonesty.",2,4,2,1,64,1,,2
R_2aE3Kqm7fx18U8r,0,1,"Martin would pass, he and the athletics department and the alumni would be pleased. Prof Smith's integrity would be shot to hell and his other students would be pissed.",1,5,3,2,53,1,,2
R_ZHViFQiTtOIgfWV,0,1,"Professor's changing grades/expectations to make sure football players remain eligible is nothing new.  I guess it would depend on how much of a football school this was.   If it's a big football school, it would be the norm and no one would blink.  Football makes schools a lot of money, and they need their players.",1,2,1,2,38,5,biracial,2
R_1n1pY99eGr6ndEL,0,1,It would show everyone that athletes get special treatment as far as academics go. That because he is an athlete he doesn't really have to worry about studying and getting those good grades. It also will end up taking away from Martin in the long run because not many people end up becoming a pro. Where will that leave him? ,3,4,1,2,25,2,,1
R_stZjNaPI6rhnZQZ,0,0,"If professor smith had altered his grades it would have rewarded him for not doing his work.  Then the next time he had been in a class, he wouldn't have done the work there either.  And if the other students found out they hadn't received the same 30 points, they would have gotten very angry and complained to the higher people I  their college. It would have proved to be a very touchy situation.  And caused lots of problems in the college.",1,5,5,2,47,1,,3
R_81X6yDJiugppZFH,0,1,Martin would be very happy and he would be able to play sports the following semester. ,1,2,2,1,28,3,,1
R_1eW9i6VS5BvGbRd,0,1,"If Professor Smith had added 30 points to each of Martin's grades, he would have passed and Martin could have played football. But that would be cheating and a violation of ethics codes.",1,3,5,2,42,1,,6
R_1HcLjSNuxDbaLw2,0,1,"If the professor altered his grades he would be eligible to play next season but it would not be fair to the other students. It could cause several problems if any other students, parents or faculty found out. ",4,4,4,2,26,1,,4
R_1jpIdl7X2s0sKYZ,0,1,The Athletic department would have been happy because Martin would have been eligible but the grades were not deserved. ,4,4,1,1,30,1,,2
R_3OpOP7ypmz6bckr,0,1,"If the professor had done this, the athlete would have been able to continue playing, but the professor would have committed a serious act of ethics violation. This would likely be uncovered at some point, and the athlete, professor, and school would all face punishment.",4,1,1,1,39,1,,4
R_VUzbC2rSxaq59HX,0,1,Martin would have been able to pass the class. He and his sports associates would have been much happier. ,2,2,6,1,22,1,,2
R_33j5P6ZGtPUZptP,0,0,The professor would get in trouble for artificially inflating Martin's grades and also the school's athletic department should be reprimanded for allowing this to happen.,1,4,2,1,23,1,,1
R_27NLRugR1KPedlj,0,1,"Martin probably would have been able to continue playing, but he still wouldn't have mastered the material and it would undermine the more serious efforts of the other students.",3,2,1,1,24,1,,1
R_yJflpEwawrrzHXj,0,1,"The integrity of the professor, his class and the school's academic reputation would be in question. But Martin could play football.",1,2,1,1,44,1,,4
R_2CwVC1C7oVsTktl,0,1,"Martin would have been able to play football next season. But, this would have been very unfair to all the other students. Martin deserved his failing grade.",1,2,1,2,61,1,,1
R_1jd3xf5eN2IkOXt,0,1,"Martin would have been able to play, but Prof. Smith would have acted entirely unethically. He might have lost his job if found out. ",1,2,2,1,23,1,,1
R_116KsCeIIk8EBvm,0,1,He would be able to play,4,4,3,2,22,2,,3
R_3hlL5d9mwxxhRfT,0,1,"Martin would have been eligible to play.  No one would get in trouble, and coaches would begin telling their players to enroll in this class every year in order to skate by.",2,2,1,1,35,1,,3
R_24jSomk5RSU3h5q,0,1,Martin would have passed the class and been able to play football altho it unfair.,1,3,3,2,33,1,,3
R_1JEEXXNqmI3UXrT,0,1,Martin would be able to play sports next year.,3,5,1,1,33,1,,4
R_1mCdln2EOQ4U3VT,0,1,Martin would have passed the course; thus making him eligible to participate in athletics next year.,1,2,1,1,60,2,,4
R_1OH6f3cVKhyLs4S,0,0,The professor could have gotten in trouble for being dishonest and giving Martin a grade he doesn't deserve. Martin will never learn anything that way. ,1,4,1,2,27,1,,4
R_3IYMMEJWKLs9jE9,0,0,Martin would unfairly keep the privilege to continue participating in sports.,1,3,1,1,25,1,,1
R_2aqOky3JnRu1KOA,0,1,Martin would've passed the class and been eligible to play football.,1,2,1,2,30,1,,2
